GO_term	genomefreq	chrXXfreq
GO:0000162	3	0
GO:0017025	2	0
GO:0006528	2	0
GO:0004067	2	0
GO:0015914	5	0
GO:0004012	5	0
GO:0016857	2	0
GO:0004750	1	0
GO:0006482	1	0
GO:0052689	1	0
GO:0004521	3	0
GO:0009303	1	0
GO:0006801	6	0
GO:0030248	13	0
GO:0000087	1	0
GO:0019773	7	0
GO:0006310	15	1
GO:0043140	1	0
GO:0051028	2	0
GO:0004721	5	0
GO:0007096	1	0
GO:0004930	3	0
GO:0007186	11	0
GO:0004150	1	0
GO:0006760	1	0
GO:0006011	1	0
GO:0003983	1	0
GO:0070569	2	0
GO:0004806	10	0
GO:0016593	5	0
GO:0006368	4	0
GO:0016570	5	0
GO:0000445	1	0
GO:0000228	3	0
GO:0003725	1	0
GO:0042555	7	0
GO:0003678	23	6
GO:0016274	1	0
GO:0004396	6	0
GO:0046835	7	0
GO:0001678	6	0
GO:0005536	6	0
GO:0004579	2	0
GO:0006486	9	0
GO:0006796	2	0
GO:0004427	2	0
GO:0019509	3	0
GO:0004491	2	0
GO:0016798	9	0
GO:0000413	10	0
GO:0004252	51	2
GO:0070403	9	0
GO:0032040	7	0
GO:0004576	1	0
GO:0000276	4	0
GO:0015986	13	0
GO:0006556	1	0
GO:0004478	1	0
GO:0009396	7	0
GO:0004488	3	0
GO:0015707	1	0
GO:0015706	1	0
GO:0015112	1	0
GO:0015113	1	0
GO:0009972	1	0
GO:0004126	1	0
GO:0051403	1	0
GO:0004709	1	0
GO:0005200	6	0
GO:0005874	8	0
GO:0015935	7	0
GO:0051382	3	0
GO:0000776	3	0
GO:0048038	16	0
GO:0016651	7	0
GO:0016709	1	0
GO:0006744	6	0
GO:0005639	2	0
GO:0031124	2	0
GO:0016881	1	0
GO:0019781	2	0
GO:0045116	2	0
GO:0008641	7	0
GO:0032259	14	1
GO:0006415	5	0
GO:0003747	4	0
GO:0042554	1	0
GO:0016175	1	0
GO:0003689	1	0
GO:0005663	1	0
GO:0030472	1	0
GO:0008612	2	0
GO:0000275	2	0
GO:0046933	8	0
GO:0016788	20	1
GO:0009311	2	0
GO:0004573	2	0
GO:0033179	8	0
GO:0000220	2	0
GO:0008565	12	0
GO:0015031	17	0
GO:0030117	9	0
GO:0030131	6	0
GO:0016070	3	0
GO:0006334	6	0
GO:0000786	9	0
GO:0019237	1	0
GO:0032549	3	0
GO:0005886	11	0
GO:0009450	2	0
GO:0009013	2	0
GO:0000155	21	0
GO:0016772	26	0
GO:0003938	1	0
GO:0004399	2	0
GO:0004635	1	0
GO:0004636	1	0
GO:0019104	2	0
GO:0031011	7	0
GO:0035267	3	0
GO:0006338	10	0
GO:0004824	2	0
GO:0006430	2	0
GO:0030286	2	0
GO:0005875	1	0
GO:0004844	1	0
GO:0016799	2	0
GO:0006284	8	0
GO:0004813	3	0
GO:0006419	3	0
GO:0006535	3	0
GO:0006400	5	0
GO:0008193	1	0
GO:0005665	2	0
GO:0006506	10	0
GO:0031083	1	0
GO:0007064	4	0
GO:0031390	1	0
GO:0015992	6	0
GO:0046034	4	0
GO:0008608	7	0
GO:0005085	5	0
GO:0016226	9	0
GO:0005672	2	0
GO:0051488	4	0
GO:0010997	4	0
GO:0097027	4	0
GO:0005777	5	0
GO:0016560	3	0
GO:0006914	6	0
GO:0042393	5	0
GO:0016874	7	0
GO:0004326	3	0
GO:0004822	2	0
GO:0006428	2	0
GO:0002161	6	0
GO:0006626	1	0
GO:0005741	6	0
GO:0030362	1	0
GO:0030289	1	0
GO:0000723	21	6
GO:0045039	1	0
GO:0006168	1	0
GO:0003999	1	0
GO:0009116	40	1
GO:0016151	5	0
GO:0009039	2	0
GO:0043419	2	0
GO:0005740	2	0
GO:0006437	2	0
GO:0004831	2	0
GO:0008536	10	0
GO:0004814	3	0
GO:0006420	3	0
GO:0019825	5	0
GO:0071008	1	0
GO:0000390	1	0
GO:0006359	3	0
GO:0005666	2	0
GO:0017108	2	0
GO:0033557	2	0
GO:0004471	2	0
GO:0004470	2	0
GO:0006108	5	0
GO:0030091	2	0
GO:0008113	1	0
GO:0016671	3	0
GO:0004410	1	0
GO:0019878	1	0
GO:0009097	2	0
GO:0004794	1	0
GO:0045040	1	0
GO:0032865	3	0
GO:0046488	2	0
GO:0016307	2	0
GO:0009102	2	0
GO:0004076	1	0
GO:0009435	6	0
GO:0004514	2	0
GO:0004516	1	0
GO:0019357	1	0
GO:0009166	3	0
GO:0016209	4	0
GO:0004100	7	0
GO:0005328	3	0
GO:0006836	3	0
GO:0016805	5	0
GO:0003847	4	0
GO:0016042	10	0
GO:0018279	1	0
GO:0005789	13	0
GO:0004414	4	0
GO:0009086	8	0
GO:0006542	2	0
GO:0004451	2	0
GO:0015297	6	0
GO:0015103	2	0
GO:0018576	5	0
GO:0008199	10	0
GO:0016702	21	0
GO:0009712	5	0
GO:0006725	22	0
GO:0004139	1	0
GO:0009264	1	0
GO:0006031	5	0
GO:0031683	5	0
GO:0019001	5	0
GO:0004871	9	0
GO:0009341	4	0
GO:0004565	4	0
GO:0008810	5	0
GO:0000272	7	0
GO:0030976	17	0
GO:0010333	3	0
GO:0004181	10	0
GO:0006040	3	0
GO:0009254	3	0
GO:0004560	5	0
GO:0008887	1	0
GO:0031388	1	0
GO:0042450	6	0
GO:0004056	6	0
GO:0043531	21	0
GO:0004185	12	0
GO:0030429	2	0
GO:0030570	7	0
GO:0006364	14	0
GO:0003756	1	0
GO:0016538	2	0
GO:0034477	1	0
GO:0004657	5	0
GO:0006562	5	0
GO:0006139	12	0
GO:0004017	3	0
GO:0019205	3	0
GO:0043022	8	1
GO:0006650	2	0
GO:0047396	2	0
GO:0010508	1	0
GO:0016708	8	0
GO:0019439	8	0
GO:0006163	2	0
GO:0004385	2	0
GO:0031177	19	0
GO:0045122	1	0
GO:0016811	5	0
GO:0006672	3	0
GO:0004420	3	2
GO:0015936	3	2
GO:0006631	10	0
GO:0050151	2	0
GO:0005744	4	0
GO:0000104	3	0
GO:0008137	10	0
GO:0051539	16	0
GO:0071577	2	0
GO:0005385	2	0
GO:0016841	2	0
GO:0006559	5	0
GO:0000045	1	0
GO:0008175	1	0
GO:0001510	4	0
GO:0004749	3	0
GO:0009156	2	0
GO:0009165	4	0
GO:0044249	3	0
GO:0004649	1	0
GO:0004412	1	0
GO:0008176	1	0
GO:0005779	8	0
GO:0016559	4	0
GO:0042132	2	0
GO:0006402	1	0
GO:0030014	1	0
GO:0004421	1	0
GO:0005778	4	0
GO:0070290	1	0
GO:0009063	6	0
GO:0004584	1	0
GO:0005319	2	0
GO:0016624	3	0
GO:0005267	2	0
GO:0071805	7	0
GO:0006476	1	0
GO:0004310	1	0
GO:0008610	1	0
GO:0005868	1	0
GO:0016780	7	0
GO:0008654	15	0
GO:0008250	2	0
GO:0006487	9	2
GO:0004379	1	0
GO:0006499	1	0
GO:0004526	3	0
GO:0005876	2	0
GO:0004642	1	0
GO:0006189	5	0
GO:0009107	1	0
GO:0016992	1	0
GO:0019354	2	0
GO:0004851	1	0
GO:0043115	2	0
GO:0004639	1	0
GO:0003872	1	0
GO:0006002	1	0
GO:0004462	3	0
GO:0006564	4	0
GO:0004617	2	0
GO:0016597	10	0
GO:0017048	2	0
GO:0008121	3	0
GO:0033743	1	0
GO:0009081	4	0
GO:0004084	4	0
GO:0006790	1	0
GO:0008441	1	0
GO:0001671	1	0
GO:0008535	1	0
GO:0006878	1	0
GO:0006825	1	0
GO:0019363	1	0
GO:0016763	3	0
GO:0006207	5	0
GO:0004088	2	0
GO:0006541	4	0
GO:0003958	7	0
GO:0008540	1	0
GO:0030915	4	0
GO:0006555	2	0
GO:0004489	2	0
GO:0006113	1	0
GO:0016812	2	0
GO:0004151	1	0
GO:0019856	1	0
GO:0006893	1	0
GO:0000145	3	0
GO:0004449	2	0
GO:0015079	5	0
GO:0008963	1	0
GO:0034220	1	0
GO:0003861	1	0
GO:0009316	1	0
GO:0009098	4	0
GO:0046417	2	0
GO:0004106	1	0
GO:0006633	19	0
GO:0008897	3	0
GO:0004707	3	0
GO:0008184	1	0
GO:0004645	1	0
GO:0031461	1	0
GO:0042765	4	0
GO:0008233	11	0
GO:0003923	1	0
GO:0016255	3	0
GO:0017183	2	0
GO:0004164	1	0
GO:0004733	3	0
GO:0008615	2	0
GO:0016743	2	0
GO:0004070	1	0
GO:0004400	1	0
GO:0016052	5	0
GO:0008496	5	0
GO:0032324	1	0
GO:0033177	5	0
GO:0005247	4	0
GO:0006821	4	0
GO:0000266	1	0
GO:0006783	2	0
GO:0004325	1	0
GO:0043564	2	0
GO:0006303	2	0
GO:0004003	8	0
GO:0005835	2	0
GO:0004312	2	0
GO:0004318	2	0
GO:0006147	2	0
GO:0008892	2	0
GO:0009298	3	0
GO:0004476	2	0
GO:0006606	2	0
GO:0008643	3	0
GO:0005351	3	0
GO:0043410	1	0
GO:0045121	1	0
GO:0071230	1	0
GO:0032439	1	0
GO:0007040	1	0
GO:0071986	1	0
GO:0032008	1	0
GO:0042632	1	0
GO:0001919	1	0
GO:0031902	1	0
GO:0004019	4	0
GO:0005615	2	0
GO:0015450	3	0
GO:0031966	4	0
GO:0008198	6	0
GO:0003963	1	0
GO:0006729	1	0
GO:0008124	1	0
GO:0016818	4	0
GO:0005742	1	0
GO:0006605	2	0
GO:0000290	2	0
GO:0045131	2	0
GO:0006265	3	0
GO:0003918	2	0
GO:0009966	2	0
GO:0007020	6	0
GO:0005815	10	0
GO:0000226	6	0
GO:0043015	5	0
GO:0000922	5	0
GO:0043189	1	0
GO:0000502	4	0
GO:0030234	5	0
GO:0042176	4	0
GO:0071933	1	0
GO:0034316	1	0
GO:0019135	1	0
GO:0010468	1	0
GO:0004004	2	0
GO:0031072	4	0
GO:0009408	3	0
GO:0006625	3	0
GO:0008022	1	0
GO:0007021	1	0
GO:0048487	1	0
GO:0007023	2	0
GO:0016428	1	0
GO:0043248	5	0
GO:0004176	3	0
GO:0006515	2	0
GO:0004452	1	0
GO:0000062	2	0
GO:0030150	2	0
GO:0018580	6	0
GO:0003848	1	0
GO:0042558	2	0
GO:0004156	1	0
GO:0004809	1	0
GO:0005980	1	0
GO:0005978	3	0
GO:0004134	1	0
GO:0004135	1	0
GO:0006904	5	0
GO:0045145	1	0
GO:0004152	1	0
GO:0015693	5	0
GO:0015095	4	0
GO:0006488	1	0
GO:0004583	1	0
GO:0030123	2	0
GO:0008442	1	0
GO:0005094	1	0
GO:0009113	4	0
GO:0004044	1	0
GO:0032266	1	0
GO:0000902	2	0
GO:0016679	1	0
GO:0001522	7	0
GO:0000808	3	0
GO:0004506	1	0
GO:0016717	2	0
GO:0004768	1	0
GO:0006636	1	0
GO:0030176	3	0
GO:0006855	4	0
GO:0015238	4	0
GO:0016586	1	0
GO:0016514	1	0
GO:0005761	1	0
GO:0005092	2	0
GO:0005093	1	0
GO:0006221	3	0
GO:0004588	1	0
GO:0004747	2	0
GO:0006014	2	0
GO:0008703	2	0
GO:0006307	1	0
GO:0051213	1	0
GO:0035552	1	0
GO:0005381	4	0
GO:0034755	1	0
GO:0015743	1	0
GO:0045735	9	0
GO:0006644	3	0
GO:0004608	1	0
GO:0016158	2	1
GO:0004435	7	0
GO:0008660	1	0
GO:0009310	1	0
GO:0042823	3	0
GO:0042819	3	0
GO:0004359	3	0
GO:0004792	1	0
GO:0002143	1	0
GO:0008234	6	1
GO:0004367	1	0
GO:0009331	2	0
GO:0046168	1	0
GO:0006072	3	0
GO:0004096	11	1
GO:0005992	3	0
GO:0003855	4	0
GO:0032947	1	0
GO:0016888	2	0
GO:0004061	10	0
GO:0019441	10	0
GO:0033609	2	0
GO:0003954	2	0
GO:0007155	2	0
GO:0031369	2	0
GO:0004650	11	0
GO:0003796	2	0
GO:0009253	1	0
GO:0009277	1	0
GO:0005199	1	0
GO:0070330	3	0
GO:0005618	12	0
GO:0071555	3	0
GO:0009308	12	0
GO:0008131	12	0
GO:0004843	7	0
GO:0030060	3	0
GO:0006570	4	0
GO:0004411	4	0
GO:0004334	4	0
GO:0009072	6	0
GO:0019594	1	0
GO:0008926	1	0
GO:0004347	1	0
